gene_id,gene_name,chromosome,gene_start,gene_end,gene_strand,transcript_id,transcript_name,transcript_start,transcript_end,TSS,TES,gene_id_unversioned
ENSG00000237973.1,MTCO1P12,chr1,631074,632616,+,ENST00000414273.1,MTCO1P12-201,631074,632616,631074,632616,ENSG00000237973
ENSG00000278791.1,MIR6723,chr1,632325,632413,-,ENST00000621981.1,MIR6723-201,632325,632413,632413,632325,ENSG00000278791
ENSG00000229344.1,MTCO2P12,chr1,632757,633438,+,ENST00000427426.1,MTCO2P12-201,632757,633438,632757,633438,ENSG00000229344
ENSG00000240409.1,MTATP8P1,chr1,633535,633741,+,ENST00000467115.1,MTATP8P1-201,633535,633741,633535,633741,ENSG00000240409
ENSG00000248527.1,MTATP6P1,chr1,633696,634376,+,ENST00000514057.1,MTATP6P1-201,633696,634376,633696,634376,ENSG00000248527
ENSG00000198744.5,MTCO3P12,chr1,634376,634922,+,ENST00000416718.2,MTCO3P12-201,634376,634922,634376,634922,ENSG00000198744
ENSG00000268663.1,WBP1LP6,chr1,674842,675265,+,ENST00000438434.2,WBP1LP6-201,674842,675265,674842,675265,ENSG00000268663
ENSG00000284662.1,OR4F16,chr1,685679,686673,-,ENST00000332831.4,OR4F16-201,685679,686673,686673,685679,ENSG00000284662
ENSG00000229376.3,CICP3,chr1,722092,724903,+,ENST00000440782.3,CICP3-201,722092,724903,722092,724903,ENSG00000229376
ENSG00000228327.3,AL669831.1,chr1,725885,778626,-,ENST00000506640.2,AL669831.1-201,725885,778626,778626,725885,ENSG00000228327
ENSG00000223181.1,RNU6-1199P,chr1,758233,758336,-,ENST00000411249.1,RNU6-1199P-201,758233,758336,758336,758233,ENSG00000223181
ENSG00000229905.1,AL669831.2,chr1,760911,761989,+,ENST00000422528.1,AL669831.2-201,760911,761989,760911,761989,ENSG00000229905
ENSG00000237491.8,AL669831.5,chr1,778770,810060,+,ENST00000429505.5,AL669831.5-205,779056,804875,779056,804875,ENSG00000237491
ENSG00000285268.1,AL669831.7,chr1,781937,782050,+,ENST00000644482.1,AL669831.7-201,781937,782050,781937,782050,ENSG00000285268
ENSG00000230092.7,AL669831.4,chr1,800879,817712,-,ENST00000447500.4,AL669831.4-201,800879,817712,817712,800879,ENSG00000230092
ENSG00000177757.2,FAM87B,chr1,817371,819837,+,ENST00000326734.2,FAM87B-201,817371,819837,817371,819837,ENSG00000177757
ENSG00000228794.8,LINC01128,chr1,825138,859446,+,ENST00000445118.6,LINC01128-205,827608,859446,827608,859446,ENSG00000228794
ENSG00000225880.5,LINC00115,chr1,826206,827522,-,ENST00000473798.1,LINC00115-201,826206,827522,827522,826206,ENSG00000225880
ENSG00000230368.2,FAM41C,chr1,868071,876903,-,ENST00000446136.1,FAM41C-203,868071,876903,876903,868071,ENSG00000230368
ENSG00000234711.1,TUBB8P11,chr1,873292,874349,+,ENST00000415481.1,TUBB8P11-201,873292,874349,873292,874349,ENSG00000234711
ENSG00000283040.1,AL669831.6,chr1,874529,877234,-,ENST00000635557.1,AL669831.6-201,874529,877234,877234,874529,ENSG00000283040
ENSG00000272438.1,AL645608.6,chr1,904834,915976,+,ENST00000607769.1,AL645608.6-201,904834,915976,904834,915976,ENSG00000272438
ENSG00000230699.2,AL645608.2,chr1,911435,914948,+,ENST00000448179.1,AL645608.2-201,911435,914948,911435,914948,ENSG00000230699
ENSG00000241180.1,AL645608.4,chr1,914171,914971,+,ENST00000398216.2,AL645608.4-201,914171,914971,914171,914971,ENSG00000241180
ENSG00000223764.2,LINC02593,chr1,916865,921016,-,ENST00000432961.1,LINC02593-202,917370,918534,918534,917370,ENSG00000223764
ENSG00000187634.11,SAMD11,chr1,923928,944581,+,ENST00000455979.1,SAMD11-205,939275,944259,939275,944259,ENSG00000187634
ENSG00000188976.10,NOC2L,chr1,944204,959309,-,ENST00000327044.6,NOC2L-201,944204,959290,959290,944204,ENSG00000188976
ENSG00000187961.13,KLHL17,chr1,960587,965715,+,ENST00000338591.7,KLHL17-201,960587,965715,960587,965715,ENSG00000187961
ENSG00000187583.10,PLEKHN1,chr1,966497,975865,+,ENST00000379410.7,PLEKHN1-203,966497,975108,966497,975108,ENSG00000187583
ENSG00000187642.9,PERM1,chr1,975204,982093,-,ENST00000479361.1,PERM1-203,975205,976641,976641,975205,ENSG00000187642
ENSG00000272512.1,AL645608.7,chr1,995966,998051,-,ENST00000606034.1,AL645608.7-201,995966,998051,998051,995966,ENSG00000272512
ENSG00000188290.10,HES4,chr1,998962,1000172,-,ENST00000304952.10,HES4-201,998964,1000111,1000111,998964,ENSG00000188290
ENSG00000187608.9,ISG15,chr1,1001138,1014540,+,ENST00000379389.4,ISG15-201,1013423,1014540,1013423,1014540,ENSG00000187608
ENSG00000231702.2,AL645608.3,chr1,1008076,1008229,-,ENST00000423619.2,AL645608.3-201,1008076,1008229,1008229,1008076,ENSG00000231702
ENSG00000224969.1,AL645608.1,chr1,1011997,1013193,-,ENST00000458555.1,AL645608.1-201,1011997,1013193,1013193,1011997,ENSG00000224969
ENSG00000188157.14,AGRN,chr1,1020123,1056118,+,ENST00000379370.6,AGRN-201,1020123,1056116,1020123,1056116,ENSG00000188157
ENSG00000242590.1,AL645608.5,chr1,1055033,1056116,+,ENST00000418300.1,AL645608.5-201,1055033,1056116,1055033,1056116,ENSG00000242590
ENSG00000217801.9,AL390719.1,chr1,1059734,1069355,+,ENST00000427998.5,AL390719.1-201,1059734,1066456,1059734,1066456,ENSG00000217801
ENSG00000273443.1,AL645608.8,chr1,1062208,1063288,-,ENST00000442292.2,AL645608.8-201,1062208,1063288,1063288,1062208,ENSG00000273443
ENSG00000237330.2,RNF223,chr1,1070966,1074307,-,ENST00000453464.2,RNF223-201,1070966,1074307,1074307,1070966,ENSG00000237330
ENSG00000131591.17,C1orf159,chr1,1081818,1116361,-,ENST00000421241.6,C1orf159-205,1081823,1116098,1116098,1081823,ENSG00000131591
ENSG00000285812.1,AL390719.3,chr1,1097585,1104598,+,ENST00000648183.1,AL390719.3-201,1097585,1104598,1097585,1104598,ENSG00000285812
ENSG00000223823.1,LINC01342,chr1,1137017,1144056,+,ENST00000416774.1,LINC01342-201,1137017,1144056,1137017,1144056,ENSG00000223823
ENSG00000207730.3,MIR200B,chr1,1167104,1167198,+,ENST00000384997.3,MIR200B-201,1167104,1167198,1167104,1167198,ENSG00000207730
ENSG00000207607.3,MIR200A,chr1,1167863,1167952,+,ENST00000384875.3,MIR200A-201,1167863,1167952,1167863,1167952,ENSG00000207607
ENSG00000198976.1,MIR429,chr1,1169005,1169087,+,ENST00000362106.1,MIR429-201,1169005,1169087,1169005,1169087,ENSG00000198976
ENSG00000272141.1,AL390719.2,chr1,1169357,1170343,+,ENST00000606993.1,AL390719.2-201,1169357,1170343,1169357,1170343,ENSG00000272141
ENSG00000205231.1,TTLL10-AS1,chr1,1173056,1179555,-,ENST00000379317.1,TTLL10-AS1-201,1173056,1179555,1179555,1173056,ENSG00000205231
ENSG00000162571.13,TTLL10,chr1,1173884,1197935,+,ENST00000379290.5,TTLL10-203,1173903,1197935,1173903,1197935,ENSG00000162571
ENSG00000186891.13,TNFRSF18,chr1,1203508,1206691,-,ENST00000379268.6,TNFRSF18-203,1203511,1206691,1206691,1203511,ENSG00000186891
ENSG00000186827.10,TNFRSF4,chr1,1211326,1214138,-,ENST00000379236.3,TNFRSF4-201,1211326,1214132,1214132,1211326,ENSG00000186827
ENSG00000078808.16,SDF4,chr1,1216908,1232031,-,ENST00000263741.11,SDF4-201,1216931,1232031,1232031,1216931,ENSG00000078808
ENSG00000176022.5,B3GALT6,chr1,1232226,1235041,+,ENST00000647651.1,B3GALT6-202,1232226,1235041,1232226,1235041,ENSG00000176022
ENSG00000184163.3,C1QTNF12,chr1,1242446,1246722,-,ENST00000330388.2,C1QTNF12-201,1242453,1246722,1246722,1242453,ENSG00000184163
ENSG00000260179.1,AL162741.1,chr1,1249777,1251334,-,ENST00000565563.1,AL162741.1-201,1249777,1251334,1251334,1249777,ENSG00000260179
ENSG00000160087.20,UBE2J2,chr1,1253909,1273885,-,ENST00000349431.10,UBE2J2-202,1254470,1273885,1273885,1254470,ENSG00000160087
ENSG00000230415.1,LINC01786,chr1,1275223,1280420,+,ENST00000453732.1,LINC01786-202,1275237,1279393,1275237,1279393,ENSG00000230415
ENSG00000162572.20,SCNN1D,chr1,1280436,1292029,+,ENST00000379101.8,SCNN1D-204,1280472,1291373,1280472,1291373,ENSG00000162572
ENSG00000131584.18,ACAP3,chr1,1292376,1309609,-,ENST00000354700.9,ACAP3-202,1292376,1308018,1308018,1292376,ENSG00000131584
ENSG00000278073.1,MIR6726,chr1,1296110,1296170,-,ENST00000613751.1,MIR6726-201,1296110,1296170,1296170,1296110,ENSG00000278073
ENSG00000169972.11,PUSL1,chr1,1308567,1311677,+,ENST00000379031.9,PUSL1-201,1308567,1311677,1308567,1311677,ENSG00000169972
ENSG00000127054.20,INTS11,chr1,1311585,1324691,-,ENST00000435064.5,INTS11-208,1311597,1324691,1324691,1311597,ENSG00000127054
ENSG00000283712.1,MIR6727,chr1,1312502,1312566,-,ENST00000620702.1,MIR6727-201,1312502,1312566,1312566,1312502,ENSG00000283712
ENSG00000240731.1,AL139287.1,chr1,1317581,1318689,-,ENST00000444968.1,AL139287.1-201,1317581,1318689,1318689,1317581,ENSG00000240731
ENSG00000224051.6,CPTP,chr1,1324756,1328897,+,ENST00000464957.1,CPTP-202,1324756,1327994,1324756,1327994,ENSG00000224051
ENSG00000169962.4,TAS1R3,chr1,1331314,1335306,+,ENST00000339381.5,TAS1R3-201,1331314,1335306,1331314,1335306,ENSG00000169962
ENSG00000107404.19,DVL1,chr1,1335276,1349350,-,ENST00000378891.9,DVL1-202,1335276,1349112,1349112,1335276,ENSG00000107404
ENSG00000284372.1,MIR6808,chr1,1339650,1339708,-,ENST00000616525.1,MIR6808-201,1339650,1339708,1339708,1339650,ENSG00000284372
ENSG00000162576.16,MXRA8,chr1,1352689,1361777,-,ENST00000342753.8,MXRA8-202,1352689,1358794,1358794,1352689,ENSG00000162576
ENSG00000175756.13,AURKAIP1,chr1,1373730,1375495,-,ENST00000338338.9,AURKAIP1-202,1373730,1375495,1375495,1373730,ENSG00000175756
ENSG00000223663.2,NDUFB4P8,chr1,1378666,1379032,+,ENST00000435351.2,NDUFB4P8-201,1378666,1379032,1378666,1379032,ENSG00000223663
ENSG00000221978.11,CCNL2,chr1,1385711,1399328,-,ENST00000408918.8,CCNL2-202,1392288,1399317,1399317,1392288,ENSG00000221978
ENSG00000224870.6,AL391244.1,chr1,1399522,1402046,+,ENST00000448629.5,AL391244.1-201,1399522,1401087,1399522,1401087,ENSG00000224870
ENSG00000242485.5,MRPL20,chr1,1401908,1407313,-,ENST00000344843.11,MRPL20-201,1401908,1407313,1407313,1401908,ENSG00000242485
ENSG00000264293.2,RN7SL657P,chr1,1405460,1405752,-,ENST00000582431.2,RN7SL657P-201,1405460,1405752,1405752,1405460,ENSG00000264293
ENSG00000272455.1,AL391244.3,chr1,1409096,1410618,+,ENST00000607307.1,AL391244.3-201,1409096,1410618,1409096,1410618,ENSG00000272455
ENSG00000235098.8,ANKRD65,chr1,1418420,1421769,-,ENST00000427211.3,ANKRD65-201,1418420,1421769,1421769,1418420,ENSG00000235098
ENSG00000225905.1,AL391244.2,chr1,1420245,1422691,+,ENST00000428932.1,AL391244.2-201,1420245,1422691,1420245,1422691,ENSG00000225905
ENSG00000205116.3,TMEM88B,chr1,1426128,1427787,+,ENST00000378821.3,TMEM88B-201,1426128,1427787,1426128,1427787,ENSG00000205116
ENSG00000225285.1,LINC01770,chr1,1430539,1434573,-,ENST00000417917.1,LINC01770-201,1430664,1434520,1434520,1430664,ENSG00000225285
ENSG00000179403.11,VWA1,chr1,1434861,1442882,+,ENST00000476993.1,VWA1-203,1435671,1442882,1435671,1442882,ENSG00000179403
ENSG00000215915.9,ATAD3C,chr1,1449689,1470158,+,ENST00000484537.2,ATAD3C-203,1462483,1468663,1462483,1468663,ENSG00000215915
ENSG00000160072.19,ATAD3B,chr1,1471769,1497848,+,ENST00000308647.7,ATAD3B-201,1471769,1496202,1471769,1496202,ENSG00000160072
ENSG00000284740.1,AL645728.2,chr1,1503250,1509452,+,ENST00000641974.1,AL645728.2-201,1503250,1509452,1503250,1509452,ENSG00000284740
ENSG00000197785.13,ATAD3A,chr1,1512151,1534687,+,ENST00000378756.7,ATAD3A-203,1512151,1534685,1512151,1534685,ENSG00000197785
ENSG00000205090.8,TMEM240,chr1,1535174,1540453,-,ENST00000425828.1,TMEM240-202,1535207,1540453,1540453,1535207,ENSG00000205090
ENSG00000160075.11,SSU72,chr1,1541673,1574869,-,ENST00000291386.3,SSU72-201,1541673,1574869,1574869,1541673,ENSG00000160075
ENSG00000215014.5,AL645728.1,chr1,1574102,1577075,+,ENST00000647566.1,AL645728.1-201,1574102,1575879,1574102,1575879,ENSG00000215014
ENSG00000274481.1,AL691432.3,chr1,1583510,1583909,-,ENST00000621860.1,AL691432.3-201,1583510,1583909,1583909,1583510,ENSG00000274481
ENSG00000228594.3,FNDC10,chr1,1598012,1600096,-,ENST00000422725.3,FNDC10-201,1598012,1600096,1600096,1598012,ENSG00000228594
ENSG00000272106.1,AL691432.2,chr1,1613758,1615795,-,ENST00000607222.1,AL691432.2-201,1613758,1615795,1615795,1613758,ENSG00000272106
ENSG00000197530.12,MIB2,chr1,1615415,1630610,+,ENST00000520777.5,MIB2-232,1615415,1630605,1615415,1630605,ENSG00000197530
ENSG00000189409.13,MMP23B,chr1,1632095,1635263,+,ENST00000356026.9,MMP23B-201,1632095,1634654,1632095,1634654,ENSG00000189409
ENSG00000248333.8,CDK11B,chr1,1635227,1659012,-,ENST00000341832.10,CDK11B-203,1635227,1659012,1659012,1635227,ENSG00000248333
ENSG00000272004.1,FO704657.1,chr1,1659325,1662602,+,ENST00000607013.1,FO704657.1-201,1659325,1662602,1659325,1662602,ENSG00000272004
ENSG00000189339.11,SLC35E2B,chr1,1659529,1692728,-,ENST00000614300.4,SLC35E2B-204,1659529,1692724,1692724,1659529,ENSG00000189339
ENSG00000269737.2,AL691432.1,chr1,1671990,1674397,+,ENST00000596308.1,AL691432.1-201,1671990,1673411,1671990,1673411,ENSG00000269737
ENSG00000215914.4,MMP23A,chr1,1699942,1701782,+,ENST00000234610.5,MMP23A-201,1699942,1701782,1699942,1701782,ENSG00000215914
ENSG00000008128.22,CDK11A,chr1,1702730,1724324,-,ENST00000357760.6,CDK11A-203,1702881,1724324,1724324,1702881,ENSG00000008128
ENSG00000268575.1,AL031282.2,chr1,1702736,1737688,-,ENST00000598846.1,AL031282.2-201,1702736,1737688,1737688,1702736,ENSG00000268575
ENSG00000227775.3,AL031282.1,chr1,1724512,1737251,+,ENST00000417099.1,AL031282.1-202,1724615,1731904,1724615,1731904,ENSG00000227775
ENSG00000215790.7,SLC35E2A,chr1,1724838,1745999,-,ENST00000355439.7,SLC35E2A-202,1724840,1745999,1745999,1724840,ENSG00000215790
ENSG00000008130.15,NADK,chr1,1751232,1780457,-,ENST00000378625.5,NADK-204,1751232,1780069,1780069,1751232,ENSG00000008130
ENSG00000078369.17,GNB1,chr1,1785285,1891117,-,ENST00000378609.8,GNB1-201,1785286,1891056,1891056,1785286,ENSG00000078369
ENSG00000231050.1,AL109917.1,chr1,1891471,1892658,+,ENST00000412228.1,AL109917.1-201,1891471,1892658,1891471,1892658,ENSG00000231050
ENSG00000169885.9,CALML6,chr1,1914827,1917296,+,ENST00000307786.7,CALML6-201,1914827,1917294,1914827,1917294,ENSG00000169885
ENSG00000178821.12,TMEM52,chr1,1917590,1919273,-,ENST00000310991.7,TMEM52-201,1917591,1919273,1919273,1917591,ENSG00000178821
ENSG00000142609.18,CFAP74,chr1,1921951,2003837,-,ENST00000468610.5,CFAP74-207,1955148,2003714,2003714,1955148,ENSG00000142609
ENSG00000233542.1,AL391845.2,chr1,2013213,2015530,-,ENST00000443930.1,AL391845.2-201,2013213,2015530,2015530,2013213,ENSG00000233542
ENSG00000187730.8,GABRD,chr1,2019298,2030758,+,ENST00000378585.6,GABRD-201,2019298,2030758,2019298,2030758,ENSG00000187730
ENSG00000226969.1,AL391845.1,chr1,2049203,2050070,-,ENST00000449154.1,AL391845.1-202,2049304,2050070,2050070,2049304,ENSG00000226969
ENSG00000067606.16,PRKCZ,chr1,2050470,2185395,+,ENST00000378567.7,PRKCZ-201,2050470,2185395,2050470,2185395,ENSG00000067606
ENSG00000271806.1,AL590822.2,chr1,2141084,2145279,-,ENST00000606533.1,AL590822.2-201,2141084,2145279,2145279,2141084,ENSG00000271806
ENSG00000182873.5,PRKCZ-AS1,chr1,2181794,2184389,-,ENST00000333854.2,PRKCZ-AS1-201,2181794,2183875,2183875,2181794,ENSG00000182873
ENSG00000162585.16,FAAP20,chr1,2184461,2212720,-,ENST00000401813.7,FAAP20-205,2189548,2199907,2199907,2189548,ENSG00000162585
ENSG00000234396.3,AL590822.1,chr1,2212523,2220738,+,ENST00000442483.2,AL590822.1-201,2212523,2220738,2212523,2220738,ENSG00000234396
ENSG00000157933.9,SKI,chr1,2228695,2310119,+,ENST00000378536.4,SKI-201,2228695,2310119,2228695,2310119,ENSG00000157933
ENSG00000116151.13,MORN1,chr1,2321253,2391707,-,ENST00000378529.7,MORN1-202,2355175,2391707,2391707,2355175,ENSG00000116151
ENSG00000272161.1,AL589739.1,chr1,2326201,2326693,-,ENST00000607720.1,AL589739.1-201,2326201,2326693,2326693,2326201,ENSG00000272161
ENSG00000269896.2,AL513477.1,chr1,2350414,2352820,-,ENST00000602865.1,AL513477.1-201,2350414,2352820,2352820,2350414,ENSG00000269896
ENSG00000272420.1,AL513477.2,chr1,2363061,2363628,-,ENST00000607858.1,AL513477.2-201,2363061,2363628,2363628,2363061,ENSG00000272420
ENSG00000157916.19,RER1,chr1,2391775,2405444,+,ENST00000605895.5,RER1-209,2391833,2405444,2391833,2405444,ENSG00000157916
ENSG00000157911.10,PEX10,chr1,2403964,2413797,-,ENST00000447513.6,PEX10-202,2404819,2412571,2412571,2404819,ENSG00000157911
ENSG00000149527.17,PLCH2,chr1,2425980,2505530,+,ENST00000378486.7,PLCH2-203,2476315,2505525,2476315,2505525,ENSG00000149527
ENSG00000224387.1,AL139246.1,chr1,2492300,2493258,-,ENST00000424657.1,AL139246.1-201,2492300,2493258,2493258,2492300,ENSG00000224387
ENSG00000229393.1,AL139246.4,chr1,2493437,2494479,-,ENST00000442305.1,AL139246.4-201,2493437,2494479,2494479,2493437,ENSG00000229393
ENSG00000157881.13,PANK4,chr1,2508533,2526628,-,ENST00000378466.7,PANK4-201,2508533,2526628,2526628,2508533,ENSG00000157881
ENSG00000197921.5,HES5,chr1,2528745,2530245,-,ENST00000378453.3,HES5-201,2528745,2530245,2530245,2528745,ENSG00000197921
ENSG00000272449.2,AL139246.5,chr1,2530064,2547460,+,ENST00000644246.1,AL139246.5-201,2530064,2547460,2530064,2547460,ENSG00000272449
ENSG00000238164.6,TNFRSF14-AS1,chr1,2549920,2557031,-,ENST00000448624.2,TNFRSF14-AS1-204,2550074,2551598,2551598,2550074,ENSG00000238164
ENSG00000157873.17,TNFRSF14,chr1,2555639,2565382,+,ENST00000355716.4,TNFRSF14-201,2556366,2563829,2556366,2563829,ENSG00000157873
ENSG00000225931.3,AL139246.2,chr1,2566410,2569888,+,ENST00000456687.3,AL139246.2-201,2566410,2569888,2566410,2569888,ENSG00000225931
ENSG00000228037.1,AL139246.3,chr1,2581560,2584533,+,ENST00000424215.1,AL139246.3-201,2581560,2584533,2581560,2584533,ENSG00000228037
ENSG00000157870.15,PRXL2B,chr1,2586491,2591469,+,ENST00000419916.7,PRXL2B-204,2586775,2591468,2586775,2591468,ENSG00000157870
ENSG00000142606.15,MMEL1,chr1,2590639,2632990,-,ENST00000502556.5,MMEL1-206,2590926,2629494,2629494,2590926,ENSG00000142606
ENSG00000237058.1,AL831784.1,chr1,2632568,2636620,+,ENST00000427302.1,AL831784.1-201,2632568,2636620,2632568,2636620,ENSG00000237058
ENSG00000215912.12,TTC34,chr1,2635976,2801717,-,ENST00000401095.8,TTC34-201,2635976,2801717,2801717,2635976,ENSG00000215912
ENSG00000285945.1,AC242022.2,chr1,2768091,2784733,+,ENST00000648684.1,AC242022.2-201,2768091,2784733,2768091,2784733,ENSG00000285945
ENSG00000283259.1,AC242022.1,chr1,2773603,2776473,+,ENST00000638002.1,AC242022.1-201,2773603,2776473,2773603,2776473,ENSG00000283259
ENSG00000233234.1,AL592464.2,chr1,2811850,2812692,-,ENST00000457440.1,AL592464.2-201,2811850,2812692,2812692,2811850,ENSG00000233234
ENSG00000231630.1,AL592464.1,chr1,2814432,2814998,-,ENST00000429389.1,AL592464.1-201,2814432,2814998,2814998,2814432,ENSG00000231630
ENSG00000284745.1,AL589702.1,chr1,2960658,2968707,-,ENST00000642073.1,AL589702.1-202,2961018,2968707,2968707,2961018,ENSG00000284745
ENSG00000169717.6,ACTRT2,chr1,3021483,3022903,+,ENST00000378404.3,ACTRT2-201,3021483,3022903,3021483,3022903,ENSG00000169717
ENSG00000177133.10,LINC00982,chr1,3059615,3068437,-,ENST00000321336.1,LINC00982-201,3064072,3067769,3067769,3064072,ENSG00000177133
ENSG00000142611.16,PRDM16,chr1,3069168,3438621,+,ENST00000378391.6,PRDM16-203,3069197,3435421,3069197,3435421,ENSG00000142611
ENSG00000283572.1,MIR4251,chr1,3127975,3128035,+,ENST00000635819.1,MIR4251-201,3127975,3128035,3127975,3128035,ENSG00000283572
ENSG00000226286.1,AL008733.1,chr1,3132927,3133709,-,ENST00000440516.1,AL008733.1-201,3132927,3133709,3133709,3132927,ENSG00000226286
ENSG00000279839.1,AL512383.1,chr1,3205988,3208664,+,ENST00000624175.1,AL512383.1-201,3205988,3208664,3205988,3208664,ENSG00000279839
ENSG00000272235.1,AL590438.1,chr1,3306636,3310096,-,ENST00000607061.1,AL590438.1-201,3306636,3310096,3310096,3306636,ENSG00000272235
ENSG00000130762.14,ARHGEF16,chr1,3454426,3481113,+,ENST00000378373.5,ARHGEF16-202,3466005,3481113,3466005,3481113,ENSG00000130762
ENSG00000272088.1,AL512413.1,chr1,3487246,3487627,+,ENST00000606489.1,AL512413.1-201,3487246,3487627,3487246,3487627,ENSG00000272088
ENSG00000162591.15,MEGF6,chr1,3489920,3611495,-,ENST00000356575.8,MEGF6-202,3489926,3611495,3611495,3489926,ENSG00000162591
ENSG00000207776.1,MIR551A,chr1,3560695,3560790,-,ENST00000385042.1,MIR551A-201,3560695,3560790,3560790,3560695,ENSG00000207776
ENSG00000238260.1,AL513320.1,chr1,3623190,3624743,-,ENST00000435049.1,AL513320.1-201,3623190,3624743,3624743,3623190,ENSG00000238260
ENSG00000158109.14,TPRG1L,chr1,3625002,3630127,+,ENST00000344579.5,TPRG1L-201,3625050,3630127,3625050,3630127,ENSG00000158109
