gene_id,TSS_B37
ENSG00000005961,42467017
ENSG00000005981,95107757
ENSG00000006007,19533445
ENSG00000006015,18699496
ENSG00000006016,18718551
ENSG00000006025,45899200
ENSG00000006042,31254929
ENSG00000006047,7197958
ENSG00000006059,39507080
ENSG00000006062,43394395
ENSG00000006071,17498441
ENSG00000006116,24267657
ENSG00000006118,60691933
ENSG00000006125,33905066
ENSG00000006128,97361397
ENSG00000006194,3313801
ENSG00000006210,57406390
ENSG00000006282,48620420
ENSG00000006283,48638077
ENSG00000006327,3068447
ENSG00000006377,96634866
ENSG00000006432,71276251
ENSG00000006451,39663165
ENSG00000006453,98030402
ENSG00000006459,139876783
ENSG00000006468,14031050
ENSG00000006530,141251079
ENSG00000006534,67776049
ENSG00000006555,55266996
ENSG00000006576,77428110
ENSG00000006606,75419214
ENSG00000006607,242295701
ENSG00000006611,17565963
ENSG00000006625,30544457
ENSG00000006634,87505532
ENSG00000006638,3606873
ENSG00000006652,112062943
ENSG00000006659,40195122
ENSG00000006695,13972808
ENSG00000006704,73868121
ENSG00000006712,39881794
ENSG00000006715,38971994
ENSG00000006740,12692816
ENSG00000006744,12921382
ENSG00000006747,12610204
ENSG00000006756,2847390
ENSG00000006757,7895780
ENSG00000006788,10276447
ENSG00000006831,1797741
ENSG00000006837,133706738
ENSG00000007001,158733215
ENSG00000007038,2867182
ENSG00000007047,45582547
ENSG00000007062,16086001
ENSG00000007080,18043825
ENSG00000007129,42055887
ENSG00000007168,2496505
ENSG00000007171,26127555
ENSG00000007174,11501788
ENSG00000007202,26972472
ENSG00000007216,26800312
ENSG00000007237,10101923
ENSG00000007255,45681495
ENSG00000007264,3802127
ENSG00000007306,42210895
ENSG00000007312,62009696
ENSG00000007314,62050278
ENSG00000007341,113163447
ENSG00000007350,153524149
ENSG00000007372,31839509
ENSG00000007376,838397
ENSG00000007384,126354
ENSG00000007392,279462
ENSG00000007402,50541675
ENSG00000007516,1383640
ENSG00000007520,1401879
ENSG00000007541,616996
ENSG00000007545,1662339
ENSG00000007866,35464856
ENSG00000007908,169733846
ENSG00000007923,6761984
ENSG00000007933,171060043
ENSG00000007944,16129318
ENSG00000007952,100129348
ENSG00000007968,23857725
ENSG00000008018,170862395
ENSG00000008056,47479256
ENSG00000008083,15246301
ENSG00000008086,18443704
ENSG00000008118,209757060
ENSG00000008128,1655796
ENSG00000008130,1711896
ENSG00000008196,50786437
ENSG00000008197,50681240
ENSG00000008226,38080697
ENSG00000008256,6312275
ENSG00000008277,87563459
ENSG00000008282,105753022
ENSG00000008283,61523715
ENSG00000008294,49198229
ENSG00000008300,48700319
ENSG00000008311,121784362
ENSG00000008323,6419603
ENSG00000008324,42623333
ENSG00000008382,4343525
ENSG00000008394,16500077
ENSG00000008405,107487327
ENSG00000008438,46526311
ENSG00000008441,13106290
ENSG00000008513,134584183
ENSG00000008516,3096064
ENSG00000008517,3115299
ENSG00000008710,2185899
ENSG00000008735,51039223
ENSG00000008838,38217468
ENSG00000008853,22844931
ENSG00000008869,37311515
ENSG00000008952,169684424
ENSG00000008988,56987069
ENSG00000009307,115301297
ENSG00000009335,156931611
ENSG00000009413,111804918
ENSG00000009694,124097666
ENSG00000009709,18957341
ENSG00000009724,11107296
ENSG00000009765,150690029
ENSG00000009780,28052473
ENSG00000009790,209929378
ENSG00000009830,77787226
ENSG00000009844,142468300
ENSG00000009950,73038873
ENSG00000009954,72936623
ENSG00000010017,13712067
ENSG00000010030,36355577
ENSG00000010072,231472851
ENSG00000010165,171750801
ENSG00000010219,4671375
ENSG00000010244,30677152
ENSG00000010256,48648409
ENSG00000010270,38217848
ENSG00000010278,6308882
ENSG00000010282,42744316
ENSG00000010292,6602523
ENSG00000010295,6665239
ENSG00000010310,46171480
ENSG00000010318,52444677
ENSG00000010319,52479119
ENSG00000010322,52489135
ENSG00000010327,52529355
ENSG00000010361,50320633
ENSG00000010379,372039
ENSG00000010404,148602635
ENSG00000010438,33750678
ENSG00000010539,3286221
ENSG00000010610,6896025
ENSG00000010626,6982734
ENSG00000010671,100645784
ENSG00000010704,26087510
ENSG00000010803,41707826
ENSG00000010810,112194655
ENSG00000010818,143277835
ENSG00000010932,171217611
ENSG00000011007,24069939
ENSG00000011009,24117636
ENSG00000011021,11866154
ENSG00000011028,60705032
ENSG00000011052,49230952
ENSG00000011083,149569626
ENSG00000011105,3186522
ENSG00000011114,93799438
ENSG00000011132,3761690
ENSG00000011143,56296966
ENSG00000011198,43731601
ENSG00000011201,8700178
ENSG00000011243,15529952
ENSG00000011258,49337524
ENSG00000011260,49337908
ENSG00000011275,5821327
ENSG00000011295,15903099
ENSG00000011304,797076
ENSG00000011332,38720354
ENSG00000011347,61348620
ENSG00000011376,45430054
ENSG00000011405,17229533
ENSG00000011422,44174699
ENSG00000011426,36429431
ENSG00000011451,15560767
ENSG00000011454,125703113
ENSG00000011465,91576994
ENSG00000011478,46195662
ENSG00000011485,46850345
ENSG00000011523,65283501
ENSG00000011566,39664442
ENSG00000011590,36195461
ENSG00000011600,36399197
ENSG00000011638,21169699
ENSG00000011677,151619787
ENSG00000012048,41322262
ENSG00000012061,45982086
ENSG00000012124,35810165
ENSG00000012171,50304991
ENSG00000012174,21857736
ENSG00000012211,49042981
ENSG00000012223,46526724
ENSG00000012232,28457987
ENSG00000012504,100867487
ENSG00000012660,53213977
ENSG00000012779,45869625
ENSG00000012817,21906825
ENSG00000012822,54121529
ENSG00000012963,93673587
ENSG00000012983,51027844
ENSG00000013016,31457019
ENSG00000013275,40477073
ENSG00000013288,6576917
ENSG00000013293,170303864
ENSG00000013297,170136657
ENSG00000013306,42402238
ENSG00000013364,29831716
ENSG00000013374,151038859
ENSG00000013375,83903655
ENSG00000013392,83903077
ENSG00000013441,201729414
ENSG00000013503,106751527
ENSG00000013523,77292589
ENSG00000013561,141337894
ENSG00000013563,153640449
ENSG00000013573,31226795
ENSG00000013583,13153199
ENSG00000013588,13044494
ENSG00000013619,149529690
ENSG00000013725,60739153
ENSG00000013810,1714586
ENSG00000014123,96969472
ENSG00000014138,65029392
ENSG00000014164,144623617
ENSG00000014216,64948038
ENSG00000014257,132036214
ENSG00000014641,63815744
ENSG00000014824,41992520
ENSG00000014914,149908772
ENSG00000014919,101491884
ENSG00000015133,91884188
ENSG00000015153,42632151
ENSG00000015171,180406
ENSG00000015285,48534986
ENSG00000015413,89679717
ENSG00000015475,18257536
ENSG00000015479,138629364
ENSG00000015520,44580929
ENSG00000015532,48423488
ENSG00000015568,110550336
ENSG00000015592,27115937
ENSG00000015676,44530257
ENSG00000016082,50679283
ENSG00000016391,53880446
ENSG00000016402,137366317
ENSG00000016490,86934052
ENSG00000016602,87012762
ENSG00000016864,52740048
ENSG00000017260,130569440
ENSG00000017427,102875522
ENSG00000017483,48328648
ENSG00000017797,9475008
ENSG00000018189,71569922
ENSG00000018236,41086242
ENSG00000018280,219246753
ENSG00000018408,149454501
ENSG00000018510,178257475
ENSG00000018607,133062380
ENSG00000018610,118699372
ENSG00000018625,160085550
ENSG00000018699,32853100
ENSG00000018869,56904907
ENSG00000019102,124622151
ENSG00000019144,118477156
ENSG00000019169,119699771
ENSG00000019186,52790525
ENSG00000019485,45117358
ENSG00000019505,45307892
ENSG00000019549,49834299
ENSG00000019582,149792532
ENSG00000019991,81399754
ENSG00000019995,126630693
ENSG00000020129,36023075
ENSG00000020181,37641710
ENSG00000020219,152142563
ENSG00000020256,50820847
ENSG00000020426,61201461
ENSG00000020577,55032836
ENSG00000020633,25291612
ENSG00000020922,94227051
ENSG00000021300,73357224
ENSG00000021355,2842193
ENSG00000021461,99425637
ENSG00000021488,33360673
ENSG00000021574,32288626
ENSG00000021645,78636717
ENSG00000021762,3187969
ENSG00000021776,35261943
ENSG00000021826,211342407
ENSG00000021852,57431813
ENSG00000022267,135228862
ENSG00000022277,55043642
ENSG00000022355,161274070
ENSG00000022556,55464499
ENSG00000022567,142318404
ENSG00000022840,120971284
ENSG00000022976,102783715
ENSG00000023041,114207330
ENSG00000023171,123229137
ENSG00000023191,507300
ENSG00000023228,207024233
ENSG00000023287,53658403
ENSG00000023318,102861334
ENSG00000023330,52232103
ENSG00000023445,102188182
ENSG00000023516,42846289
ENSG00000023572,193075244
ENSG00000023608,62229139
ENSG00000023697,16064237
ENSG00000023734,16035322
ENSG00000023839,101542398
ENSG00000023892,35265596
ENSG00000023902,150121374
ENSG00000023909,94375012
ENSG00000024048,42531768
ENSG00000024422,48216680
ENSG00000024526,68962904
ENSG00000024862,139094907
ENSG00000025039,90121992
ENSG00000025156,122720697
ENSG00000025293,34359897
ENSG00000025423,57145946
ENSG00000025434,47269852
ENSG00000025708,50968461
ENSG00000025770,50946654
ENSG00000025772,43589038
ENSG00000025796,108279412
ENSG00000025800,32573658
ENSG00000026025,17270241
ENSG00000026036,62290654
ENSG00000026103,90713571
ENSG00000026297,167370679
ENSG00000026508,35160430
ENSG00000026559,49639644
ENSG00000026652,161695093
ENSG00000026751,160708848
ENSG00000026950,26402466
ENSG00000027001,24463539
ENSG00000027075,61654278
ENSG00000027644,156828909
ENSG00000027697,137540586
ENSG00000027847,177027134
ENSG00000027869,156786640
ENSG00000028116,58134765
ENSG00000028137,12227049
ENSG00000028203,95611523
ENSG00000028277,42700737
ENSG00000028310,892916
ENSG00000028528,64386323
ENSG00000028839,134273309
ENSG00000029153,27485770
ENSG00000029363,136610989
ENSG00000029364,69864733
ENSG00000029534,41754280
ENSG00000029559,88720707
ENSG00000029639,155635627
ENSG00000029725,5185561
ENSG00000029993,150148983
ENSG00000030066,47870107
ENSG00000030110,33548070
ENSG00000030304,113431060
ENSG00000030419,214017151
ENSG00000030582,42422615
ENSG00000031003,137387650
ENSG00000031081,119013231
ENSG00000031691,49431084
ENSG00000031698,109756541
ENSG00000031823,5978153
ENSG00000032219,58765223
ENSG00000032389,3381601
ENSG00000032444,7598891
ENSG00000032742,21141278
ENSG00000033011,5083704
ENSG00000033030,122985620
ENSG00000033050,150924291
ENSG00000033100,150929570
ENSG00000033122,70033606
ENSG00000033170,65877311
ENSG00000033178,68566873
ENSG00000033327,78129394
ENSG00000033627,40610863
ENSG00000033800,68346648
ENSG00000033867,27525911
ENSG00000034053,29129630
ENSG00000034152,21187985
ENSG00000034239,49647870
ENSG00000034510,85132781
ENSG00000034533,130746493
ENSG00000034677,101348446
ENSG00000034693,143771943
ENSG00000034713,75600274
ENSG00000034971,171621828
ENSG00000035115,266398
ENSG00000035141,70529222
ENSG00000035403,75754952
ENSG00000035499,59996017
ENSG00000035664,64364232
ENSG00000035681,59572412
ENSG00000035687,244615211
ENSG00000035720,68424446
ENSG00000035862,76921469
ENSG00000035928,39367995
ENSG00000036054,99979837
ENSG00000036257,225450114
ENSG00000036448,1993162
ENSG00000036473,38211840
ENSG00000036530,100150636
ENSG00000036549,78149104
ENSG00000036565,20040717
ENSG00000036672,119252421
ENSG00000036828,121902516
ENSG00000037042,40811303
ENSG00000037241,172385733
ENSG00000037280,180076624
ENSG00000037474,6633404
ENSG00000037637,16678975
ENSG00000037749,153418520
ENSG00000037757,13875337
ENSG00000037897,58165902
ENSG00000037965,54402770
ENSG00000038002,178363591
ENSG00000038210,25162286
ENSG00000038219,13629349
ENSG00000038274,162930121
ENSG00000038295,166794390
ENSG00000038358,67906956
ENSG00000038382,14143452
ENSG00000038427,82767438
ENSG00000038532,11038422
ENSG00000038945,16424999
ENSG00000039068,68771196
ENSG00000039123,54603818
ENSG00000039139,14011927
ENSG00000039319,79703833
ENSG00000039523,67552322
ENSG00000039537,41261540
ENSG00000039560,34656434
ENSG00000039600,157098488
ENSG00000039650,50381608
ENSG00000039987,12862517
ENSG00000040199,71758604
ENSG00000040275,169010641
ENSG00000040341,74659943
ENSG00000040487,19638821
ENSG00000040531,3539754
ENSG00000040608,20270769
ENSG00000040633,7143041
ENSG00000040731,24645087
ENSG00000040933,99061318
ENSG00000041353,52385092
ENSG00000041357,78832748
ENSG00000041515,109248501
ENSG00000041802,194393192
ENSG00000041880,51976362
ENSG00000041982,117880536
ENSG00000041988,6684929
ENSG00000042062,49308079
ENSG00000042088,90421284
ENSG00000042286,71892690
ENSG00000042304,228513322
ENSG00000042317,88851269
ENSG00000042429,93517394
ENSG00000042445,85581654
ENSG00000042493,85645555
ENSG00000042753,47354103
ENSG00000042781,216596790
ENSG00000042813,50160925
ENSG00000042832,133879204
ENSG00000042980,24151583
ENSG00000043039,129245744
ENSG00000043093,182703741
ENSG00000043143,133860004
ENSG00000043355,100634039
ENSG00000043462,169724819
ENSG00000043514,40349183
ENSG00000043591,115803626
ENSG00000044012,42619082
ENSG00000044090,43021681
ENSG00000044115,137946657
ENSG00000044446,19002232
ENSG00000044459,17134981
ENSG00000044524,89156772
ENSG00000044574,128003661
ENSG00000046604,29078141
ENSG00000046647,14048012
ENSG00000046651,13752863
ENSG00000046653,13956757
ENSG00000046774,141293076
ENSG00000046889,68864282
ENSG00000047056,1095479
ENSG00000047188,112849392
ENSG00000047230,16731059
ENSG00000047249,54756118
ENSG00000047315,57843889
ENSG00000047346,53002014
ENSG00000047365,36246136
ENSG00000047410,186344825
ENSG00000047457,148939616
ENSG00000047578,27561455
ENSG00000047579,15663289
ENSG00000047597,37545045
ENSG00000047617,6055398
ENSG00000047621,4647674
ENSG00000047634,17755570
ENSG00000047644,9983295
ENSG00000047648,11684040
ENSG00000047662,17783244
ENSG00000047849,48130762
ENSG00000047932,117923705
ENSG00000047936,117747105
ENSG00000048028,113746292
ENSG00000048052,18126573
ENSG00000048140,176074389
ENSG00000048162,175815928
ENSG00000048342,15471490
ENSG00000048392,103251189
ENSG00000048405,127071978
ENSG00000048462,12059068
ENSG00000048471,12070592
ENSG00000048540,16763528
ENSG00000048544,42185599
ENSG00000048545,42123145
ENSG00000048649,77531915
ENSG00000048707,12290088
ENSG00000048740,10840361
ENSG00000048828,96213968
ENSG00000048991,136289026
ENSG00000049089,40783485
ENSG00000049130,88974628
ENSG00000049167,60240900
ENSG00000049192,64777747
ENSG00000049239,9294834
ENSG00000049245,7831357
ENSG00000049246,7844352
ENSG00000049247,7913572
ENSG00000049249,8003225
ENSG00000049283,48610044
ENSG00000049323,33172021
ENSG00000049449,32112621
ENSG00000049540,73442120
ENSG00000049541,73668788
ENSG00000049618,157097155
ENSG00000049656,1345214
ENSG00000049759,55711459
ENSG00000049768,49126940
ENSG00000049769,49126257
ENSG00000049860,73935849
ENSG00000049883,71616195
ENSG00000050030,74145307
ENSG00000050130,59951162
ENSG00000050165,12031316
ENSG00000050327,144052382
ENSG00000050344,26191819
ENSG00000050393,13814800
ENSG00000050405,50677303
ENSG00000050426,51441746
ENSG00000050438,51785102
ENSG00000050555,133884562
ENSG00000050628,71513499
ENSG00000050730,122148621
ENSG00000050748,179719099
ENSG00000050767,178017394
ENSG00000050820,75301951
ENSG00000051009,6255941
ENSG00000051108,56966055
ENSG00000051128,19052070
ENSG00000051180,40986973
ENSG00000051341,121264835
ENSG00000051382,138553770
ENSG00000051523,88717462
ENSG00000051596,175461683
ENSG00000051620,138724669
ENSG00000051825,123728561
ENSG00000052126,19282668
ENSG00000052344,31147048
ENSG00000052723,115323306
ENSG00000052749,99185833
ENSG00000052795,159690179
ENSG00000052802,166248820
ENSG00000052841,43380471
ENSG00000052850,44331689
ENSG00000053108,132948232
ENSG00000053254,90085493
ENSG00000053328,110679552
ENSG00000053371,19638638
ENSG00000053372,19578300
ENSG00000053438,36149609
ENSG00000053501,17326156
ENSG00000053524,183146566
ENSG00000053702,2944710
ENSG00000053747,21269418
ENSG00000053770,57735643
ENSG00000053900,25378886
ENSG00000053918,2465915
ENSG00000054116,36621654
ENSG00000054118,36690034
ENSG00000054148,139743177
ENSG00000054179,139948513
ENSG00000054219,160761267
ENSG00000054267,235491534
ENSG00000054277,241840678
ENSG00000054282,243419337
ENSG00000054356,220174370
ENSG00000054392,210501597
ENSG00000054523,10270629
ENSG00000054598,1610151
ENSG00000054611,47158515
ENSG00000054654,64228618
ENSG00000054690,68000008
ENSG00000054793,50384929
ENSG00000054796,55904860
ENSG00000054803,54580575
ENSG00000054938,74442471
ENSG00000054965,73309234
ENSG00000054967,73087445
ENSG00000054983,88460009
ENSG00000055044,203130460
ENSG00000055070,16679071
ENSG00000055118,150675409
ENSG00000055130,148395007
ENSG00000055147,153418496
ENSG00000055163,156693090
ENSG00000055208,149539778
ENSG00000055211,149887431
ENSG00000055332,37384665
ENSG00000055483,76837523
ENSG00000055609,152133729
ENSG00000055732,85514183
ENSG00000055813,56411126
ENSG00000055917,20551995
ENSG00000055950,102747272
ENSG00000055955,52864704
ENSG00000055957,52811612
ENSG00000056050,170679095
ENSG00000056097,32444846
ENSG00000056277,129402873
ENSG00000056291,72897620
ENSG00000056487,45405886
ENSG00000056558,123691451
ENSG00000056586,125667638
ENSG00000056736,53880596
ENSG00000056972,111928109
ENSG00000056998,2746864
ENSG00000057019,98620539
ENSG00000057149,61329127
ENSG00000057252,179262850
ENSG00000057294,33049711
ENSG00000057468,76262568
ENSG00000057593,113760103
ENSG00000057608,5884095
ENSG00000057657,106441339
ENSG00000057663,106773666
ENSG00000057704,95044333
ENSG00000057757,24104909
ENSG00000057935,42721710
ENSG00000058056,179370821
ENSG00000058063,182511292
ENSG00000058085,183155374
ENSG00000058091,90095739
ENSG00000058262,127770485
ENSG00000058272,80329240
ENSG00000058335,79383122
ENSG00000058404,44374176
ENSG00000058453,17066769
ENSG00000058600,22308697
ENSG00000058668,203595916
ENSG00000058673,203764752
ENSG00000058729,96518951
ENSG00000058799,54355471
ENSG00000058804,54304136
ENSG00000058866,186080023
ENSG00000059122,2961933
ENSG00000059145,1464752
ENSG00000059377,139476851
ENSG00000059378,139762751
ENSG00000059573,97416468
ENSG00000059588,234614925
ENSG00000059691,152682159
ENSG00000059728,70124821
ENSG00000059758,96794258
ENSG00000059769,114393615
ENSG00000059804,8088783
ENSG00000059915,104181296
ENSG00000060069,77439804
ENSG00000060138,10875922
ENSG00000060140,10826917
ENSG00000060237,861746
ENSG00000060303,50825375
ENSG00000060339,70480770
ENSG00000060491,61436188
ENSG00000060558,3136032
ENSG00000060566,4153629
ENSG00000060642,27113546
ENSG00000060656,29563029
ENSG00000060688,31769635
ENSG00000060709,131252773
ENSG00000060718,103574428
ENSG00000060749,32914358
ENSG00000060762,166796501
ENSG00000060971,38178733
ENSG00000060982,25102035
ENSG00000061273,48226915
ENSG00000061337,20161474
ENSG00000061455,122424937
ENSG00000061492,137419680
ENSG00000061656,34203752
ENSG00000061676,183903586
ENSG00000061794,27863756
ENSG00000061918,156680145
ENSG00000061936,132195627
ENSG00000061938,195638816
ENSG00000061987,62860598
ENSG00000062038,68670093
ENSG00000062096,2959513
ENSG00000062194,56469776
ENSG00000062282,75470558
ENSG00000062370,44871377
ENSG00000062485,56694175
ENSG00000062524,41806085
ENSG00000062582,43909492
ENSG00000062598,45061624
ENSG00000062650,88281549
ENSG00000062716,57784554
ENSG00000062725,58603603
ENSG00000062822,50887462
ENSG00000063015,27333458
ENSG00000063046,53400067
ENSG00000063127,49828472
ENSG00000063169,48111454
ENSG00000063176,49122549
ENSG00000063177,49122441
ENSG00000063180,49149444
ENSG00000063241,55973710
ENSG00000063244,56165513
ENSG00000063245,56186593
ENSG00000063322,39881944
ENSG00000063438,321830
ENSG00000063515,19137805
ENSG00000063587,152599606
ENSG00000063601,149861445
ENSG00000063660,241375081
ENSG00000063761,78266453
ENSG00000063854,1877158
ENSG00000063978,2463948
ENSG00000064012,202098167
ENSG00000064042,41361625
ENSG00000064102,27091259
ENSG00000064115,27167367
ENSG00000064195,48072588
ENSG00000064199,124543741
ENSG00000064201,2323228
ENSG00000064205,43343486
ENSG00000064218,976656
ENSG00000064225,98451081
ENSG00000064270,84402134
ENSG00000064300,47572656
ENSG00000064309,125933230
ENSG00000064313,120845103
ENSG00000064393,139477797
ENSG00000064419,128695227
ENSG00000064489,19302967
ENSG00000064490,19303039
ENSG00000064545,19249322
ENSG00000064547,19739739
ENSG00000064601,44518784
ENSG00000064607,19144832
ENSG00000064651,127419459
ENSG00000064652,122179135
ENSG00000064655,45523264
ENSG00000064666,1026586
ENSG00000064687,1039997
ENSG00000064692,121647050
ENSG00000064703,112297455
ENSG00000064726,83736004
ENSG00000064763,29301950
ENSG00000064787,52687133
ENSG00000064835,87325734
ENSG00000064886,111743394
ENSG00000064932,1174267
ENSG00000064933,190648812
ENSG00000064961,3572776
ENSG00000064989,188313187
ENSG00000064995,34856969
ENSG00000064999,34857033
ENSG00000065000,2164467
ENSG00000065029,35226687
ENSG00000065054,2075358
ENSG00000065057,2097867
ENSG00000065060,34759861
ENSG00000065135,110091238
ENSG00000065150,98605913
ENSG00000065154,126107545
ENSG00000065183,118472344
ENSG00000065243,89149906
ENSG00000065268,984333
ENSG00000065308,52441858
ENSG00000065320,8924828
ENSG00000065325,9725524
ENSG00000065328,13203559
ENSG00000065357,56321104
ENSG00000065361,56470584
ENSG00000065371,123711025
ENSG00000065413,198175897
ENSG00000065427,75682541
ENSG00000065457,75657198
ENSG00000065485,122785873
ENSG00000065491,37225549
ENSG00000065518,120315176
ENSG00000065526,16162591
ENSG00000065534,123603179
ENSG00000065548,187350981
ENSG00000065559,11924147
ENSG00000065600,212588243
ENSG00000065609,84419410
ENSG00000065613,105726899
ENSG00000065615,84569376
ENSG00000065618,105845638
ENSG00000065621,106028632
ENSG00000065665,12171637
ENSG00000065675,6622263
ENSG00000065717,3047633
ENSG00000065802,239335384
ENSG00000065809,14816896
ENSG00000065833,84140770
ENSG00000065882,37892706
ENSG00000065883,39989721
ENSG00000065911,74413300
ENSG00000065923,46618553
ENSG00000065970,8185313
ENSG00000065978,43148090
ENSG00000065989,10527450
ENSG00000066027,212458753
ENSG00000066032,79412358
ENSG00000066044,8070543
ENSG00000066056,43766654
ENSG00000066084,50898769
ENSG00000066117,50478984
ENSG00000066135,44115821
ENSG00000066136,41157321
ENSG00000066185,42921924
ENSG00000066230,524564
ENSG00000066248,233877966
ENSG00000066279,197115824
ENSG00000066294,160549306
ENSG00000066322,43833745
ENSG00000066336,47400098
ENSG00000066379,30026677
ENSG00000066382,30608419
ENSG00000066405,137717578
ENSG00000066422,101395979
ENSG00000066427,92572965
ENSG00000066455,93260651
ENSG00000066468,123357972
ENSG00000066557,70671262
ENSG00000066583,128430443
ENSG00000066629,100204031
ENSG00000066651,126307626
ENSG00000066654,20753406
ENSG00000066697,103189426
ENSG00000066735,104604925
ENSG00000066739,96829678
ENSG00000066777,68256016
ENSG00000066813,20587749
ENSG00000066827,135725292
ENSG00000066855,66556970
ENSG00000066923,99775187
ENSG00000066926,55253964
ENSG00000066933,72410918
ENSG00000067048,15016020
ENSG00000067057,3108526
ENSG00000067064,1095059
ENSG00000067066,231280658
ENSG00000067082,3827473
ENSG00000067113,54830797
ENSG00000067141,73344052
ENSG00000067167,71520651
ENSG00000067177,71934167
ENSG00000067182,6451280
ENSG00000067191,37353956
ENSG00000067208,93257961
ENSG00000067221,74286963
ENSG00000067225,72524160
ENSG00000067248,54603522
ENSG00000067334,94345474
ENSG00000067365,8715541
ENSG00000067369,43802926
ENSG00000067445,54946896
ENSG00000067533,218458636
ENSG00000067560,49450431
ENSG00000067596,41561234
ENSG00000067601,66767472
ENSG00000067606,1981851
ENSG00000067646,2803323
ENSG00000067704,220267475
ENSG00000067715,79257774
ENSG00000067798,77718422
ENSG00000067829,153059967
ENSG00000067836,4852881
ENSG00000067840,153096020
ENSG00000067842,152783101
ENSG00000067900,18691774
ENSG00000067955,67062888
ENSG00000067992,24483362
ENSG00000068001,50360213
ENSG00000068024,240323348
ENSG00000068028,50378411
ENSG00000068078,1795021
ENSG00000068079,41158758
ENSG00000068097,58156283
ENSG00000068120,40713486
ENSG00000068137,40829012
ENSG00000068305,100105623
ENSG00000068308,48815648
ENSG00000068323,48900936
ENSG00000068354,48398103
ENSG00000068366,108976632
ENSG00000068383,134351292
ENSG00000068394,48980085
ENSG00000068400,48858675
ENSG00000068438,48334410
ENSG00000068489,57233094
ENSG00000068615,86565206
ENSG00000068650,113344353
ENSG00000068654,86333278
ENSG00000068697,20251389
ENSG00000068724,47143297
ENSG00000068745,48777786
ENSG00000068781,48757065
ENSG00000068784,45839304
ENSG00000068796,61601990
ENSG00000068831,64512928
ENSG00000068878,54198130
ENSG00000068885,160117668
ENSG00000068903,39390502
ENSG00000068912,54014147
ENSG00000068971,64685026
ENSG00000068976,64527446
ENSG00000068985,49460587
ENSG00000069011,134370503
ENSG00000069018,135701233
ENSG00000069020,65892209
ENSG00000069122,46922680
ENSG00000069188,71640584
ENSG00000069206,24298444
ENSG00000069248,229644088
ENSG00000069275,205719310
ENSG00000069329,46723430
ENSG00000069345,47007585
ENSG00000069399,45250963
ENSG00000069424,6050988
ENSG00000069431,22095477
ENSG00000069482,68451248
